STRAIN,SPECIES,GENOTYPE,COMMENTS,FROM,OTHER NAMES
JU2024,Caenorhabditis virilis,wild isolate,"Isolated by MAF from rotting apple O762 sampled in Orsay (Essonne), France on 6 Dec 2010. Line started from a Plugged adult isolated on 8 Dec.",MAF,762.1
JU2025,Caenorhabditis virilis,wild isolate,"Isolated by MAF from rotting apple O762 sampled in Orsay (Essonne), France on 6 Dec 2010. Line started from a Plugged adult isolated on 8 Dec.",MAF,762.11
NIC113,Caenorhabditis guadeloupensis,wild isolate,"Reference strain for the species (F_lix, Braendle & Cutter, 2014). Formerly C. sp. 20.Male-female. Isolated by Christian Braendle from rotten Heliconia flowers sampled on the Soufrière, Forest trail, Guadeloupe, March 2010. GPS: 16.0328, -61.676",,S8
JU2032,Caenorhabditis briggsae,wild isolate,Isolated from rotting apple O176 sampled in Orsay on 22 July 2009. Line started from a dauer larva isolated on 22 July.,MAF,O176.10
JU2034,Caenorhabditis elegans,"mfSi1[lin-3 genomic fragment, Cbr-unc-119(+)] II",lin-3 MosSCI insertion on Chr II (ttTi5605). Single copy verified by pyrosequencing.,MB,
JU2035,Caenorhabditis elegans,"mfSi2[lin-3 genomic fragment, Cbr-unc-119(+)] IV",lin-3 MosSCI insertion on Chr IV (cxTi10882). 2-copy insertion assayed by pyrosequencing,MB,
JU2036,Caenorhabditis elegans,"mfSi3[lin-3 genomic fragment, Cbr-unc-119(+)] IV ",lin-3 MosSCI insertion on Chr IV (cxTi10882). Single copy by pyrosequencing,MB,
JU2038,Caenorhabditis elegans,"mfSi1[lin-3 genomic fragment, Cbr-unc-119(+)] II; mfSi2[lin-3 genomic fragment, Cbr-unc-119(+)] IV",From a cross between JU2034 and JU2035,MB,
JU2039,Caenorhabditis elegans,"mfIs70[lin-31::rde-1, myo-2::GFP] IV; rde-1(ne219)",Spontaneous integration line. Maps to chr IV.,MB,line 10
JU2040,Caenorhabditis elegans,"mfIs70[lin-31::rde-1, myo2::GFP]; rde-1(ne219); syls50[cdh-3::gfp+dpy-20(+)]",Cross between JU2039 and PS3352,MB,
JU2041,Caenorhabditis elegans,mfIR24(I;LSJ1>N2),"Made from a cross between N2 male and JU2002 hermaphrodite. Carries nath-10(haw6805) allele, not mfP17 nor mfP18 (N2 alleles).",Fabien Duveau,60.1
JU2042,Caenorhabdtits elegans,mfIR25(I;AB1>N2),Made from a cross between JU2003 hermaphrodite and N2 male. Carries nath-10(haw6805) allele.,Fabien Duveau,46.3
JU2043,Caenorhabditis elegans,mfIR26(I;AB1>N2),Made from a cross between JU2003 hermaphrodites and N2 male. Carries nath-10(haw6805) allele.,Fabien Duveau,112.3
JU2044,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from an unidentified rotting fruit sampled by Mathieu Joron in Petit Saut, French Guiana, March 2011.",M. Joron/MAF,G1.1
JU2045,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from an unidentified rotting fruit sampled by Mathieu Joron in Montagne des Singes, French Guiana, March 2011. Same sample as JU2046.",M. Joron/MAF,G6.1
JU2046,Caenorhabditis nouraguensis,wild isolate,"Isolated by MAF from an unidentified rotting fruit sampled by Mathieu Joron in Montagne des Singes, French Guiana, March 2011. Same sample as JU2045.",M. Joron/MAF,G6.5
JU2047,Caenorhabditis elegans,mfIR27(I;AB1>N2),Made from a cross between N2 male and JU2003 hermaphrodite. Carries nath-10(haw6805) and pas4051.,Fabien Duveau,100.3.4
JU2048,Caenorhabditis elegans,"mfSi1[lin-3 genomic fragment, Cbr-unc-119(+)] II; mfSi3[lin-3 genomic fragment, Cbr-unc-119(+)] IV. ",Made from a cross between JU2034 and JU2036.,MB,
JU2053,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from a rotting papaya sampled in early April 2011 by Christopher Nelson on 2826 Upena St., Lihue, Kaui (Hawaii). 21.96385 North, -159.35838 West.",Christopher Nelson / MAF,H3.1
JU2054,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from a rotting avocado sampled in early April 2011 by Christopher Nelson on 2826 Upena St., Lihue, Kaui (Hawaii). 21.96385 North, -159.35838 West.",Christopher Nelson / MAF,H4.7
JU2055,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from a rotting breadfruit sampled in early April 2011 by Christopher Nelson in Limahuli Gardens, Haena, Kaui (Hawaii). 22.219 North, -159.5763 West.",Christopher Nelson / MAF,H7.2
JU2056,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from rotting palmfruit (Pritchardia limahuliensis) nuts sampled in early April 2011 by Christopher Nelson in Limahuli Gardens, Haena, Kaui (Hawaii). 22.219 North, -159.5763 West.",Christopher Nelson / MAF,H10.1
JU2057,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from a yellow mushroom (not particularly rotting) sampled by Amir Yassin next to the Combani Hill reservoir, Mayotte, (-12.77 S, 45.14 E) on 15 April 2011.",A. Yassin/MAF,IE8.1
JU2058,Caenorhabditis elegans,"rrf-3(pk1426) II; mfIs70[lin-31::rde-1, myo-2::GFP] IV; rde-1(ne219) V",,M. Barkoulas,
JU2060,Caenorhabditis elegans,mfIs72[plin-31::lin-12intra; pmyo-2::GFP] IV,"Same mfEx as mfIs71 and mfIs73, in N2 background, integrated by irradiation.  Backcrossed 5-7 x to N2. Mapped on IV using EG1020.",M. Barkoulas & MAF,A2
JU2064,Caenorhabditis elegans,mfIs76[plin-31::lin-12intra; pmyo-2::GFP] II,"Same mfEx as mfIs76-81 in N2 background, integrated by irradiation.Backcrossed 5-7 x to N2. Mapped on II with EG1000. No or weak phenotype. Heterozygous males mate.",M. Barkoulas & MAF,5.1
JU2070,Caenorhabditis sp. 21,wild isolate,"Male-female. Isolated by MAF from a rotting fig sampled by Howard Baylis next to waterfall in Khao Sok National Park, Thailand on 21 April 2011. ca. 8.893 N, 98.512 E.",Howard Baylis / MAF,Th4
NIC134,Caenorhabditis sp. 21,wild isolate,Male-female. Isolated by Clotilde Gimond from a rotting fruit sampled in Madagascar in December 2010.,Clotilde Gimond / Christian Braendle,
JU2071,Panagrolaimus sp. ,wild isolate,"Male-female. Isolated by MAF from a rotting Hibiscus flower sampled by Amir Yassin on Europa Island (Sparse Islands, next to Madagascar) in April 2011. -22.37, 40.36.",A. Yassin / MAF,IE1.1
JU2072,Panagrolaimus sp. ,wild isolate,"Male-female. Isolated by MAF from a rotting fruit sampled by Amir Yassin on Juan de Nova Island (Sparse Islands, next to Madagascar) in April 2011. -17.06, 42.73.",A. Yassin / MAF,IE3.1
JU2073,Panagrolaimus sp. ,wild isolate,"Male-female. Isolated by MAF from humus/leaf litter sampled by Amir Yassin next to the Combani Hill reservoir, Mayotte, on 15 April 2011 (-12.77 S, 45.14 E).",A. Yassin / MAF,IE6.1
JU2079,Caenorhabditis nouraguensis,Isogenic wild type line derived from JU1825,28 rounds of sib mating with virgin females. Use for genome sequencing.,MAF,A12.28
JU2080,Caenorhabditis nouraguensis,Isogenic wild type line derived from JU1825,25 rounds of sib mating with virgin females,MAF,A9.25
JU2081,Caenorhabditis nouraguensis,Isogenic wild type line derived from JU1825,26 rounds of sib mating with virgin females,MAF,A8.26
JU2082,Caenorhabditis nouraguensis,Isogenic wild type line derived from JU1854,23 rounds of sib mating with virgin females. High embryonic lethality.,MAF,B7.23
JU2083,Caenorhabditis macrosperma,Isogenic wild type line derived from JU1857,25 rounds of sib mating with virgin females,MAF,D9.25
JU2084,Caenorhabditis macrosperma,Isogenic wild type line derived from JU1857,25 rounds of sib mating with virgin females,MAF,D20.25
JU2085,Caenorhabditis macrosperma,Isogenic wild type line derived from JU1857,25 rounds of sib mating with virgin females,MAF,D12.25
JU2088,Caenorhabditis elegans,mfIs76[plin-31::lin-12intra; pmyo-2::GFP] II;mfIs45[pJM1; unc-119(+); pmyo-2::DsRED2;pBS] ,Cross between JU2064 and JU1024. Presence of unc-119(ed3); lin-3(e1417)?,MB,
JU2089,Caenorhabditis elegans,"mfIs76[plin-31::lin-12intra; pmyo-2::GFP] II;mfSi2[lin-3 genomic fragment, Cbr-unc-119(+)] IV. ",Cross between JU2064 and JU2035,MB,
JU2091,Caenorhabditis elegans,"mfIs76[plin-31::lin-12intra; pmyo-2::GFP] II; mfSi3[lin-3 genomic fragment, Cbr-unc-119(+)] IV",Cross between JU2064 and JU2036.,MB,
JU2092,Caenorhabditis elegans,mfIs76[plin-31::lin-12intra; pmyo-2::GFP] II;mfIs55[pRH9; unc-119(+); pmyo-2::DsRED2;pBS],Cross between JU2064 and JU1107. Presence of unc-119(ed3)?,MB,
JU2093,Caenorhabditis elegans,mfIs76[plin-31::lin-12intra; pmyo-2::GFP] II; mfIs46[pJM1; unc-119(+); pmyo-2::DsRED2;pBS] ,Cross between JU2064 and JU1060. unc-119(unc-119(ed3); lin-3(e1417)? in the background),MB,
JU2095,Caenorhabditis elegans,mfIs76[plin-31::lin-12intra; pmyo-2::GFP] II; lin-3(e1417)IV,Cross between JU2064 and CB1417.,MB,
JU2096,Caenorhabditis elegans,mfIs46[pJM1; unc-119(+); pmyo-2::DsRED2;pBS]; osm-11(rt142) X,Cross between HA1019 and JU1060. Presence of unc-119(ed3) and lin-3(e1417)?,MB,
JU2097,Caenorhabditis elegans,"mfSi3[lin-3 genomic fragment, Cbr-unc-119(+)] IV; osm-11(rt142) X",Cross between HA1019 and JU2036.,MB,
JU2098,Caenorhabditis elegans,mfIs45[pJM1; unc-119(+); pmyo-2::dsRED2;pBS]; osm-11(rt142) X,Cross between HA1019 and JU1024. presence of unc-119(ed3) and  lin-3(e1417)?,MB,
JU2099,Caenorhabditis elegans,"mfSi2[lin-3 genomic fragment, Cbr-unc-119(+)] IV; osm-11(rt142) X",Cross between JU2035 and HA1019.,MB,
JU2101,Caenorhabditis briggsae,wild isolate,Isolated from rotting apple O370 sampled in Orsay on 9 Oct 2009. Line started from a young adult isolated on 9 Oct.,MAF,O370.2.1
JU2102,Caenorhabditis elegans,wild isolate,Isolated from rotting apple O738 sampled in Orsay on 8 Nov 2010. Line started from a L3 solated on 8 Nov. Same sample as JU2103.,MAF,O738.1.1
JU2103,Caenorhabditis briggsae,wild isolate,Isolated from rotting apple O738 sampled in Orsay on 8 Nov 2010. Line started from a dauer larva isolated on 8 Nov. Same sample as JU2102.,MAF,O738.5.1
JU2104,Caenorhabditis elegans,wild isolate,Isolated from rotting Dipsacus fullonum stem S70 sampled in Santeuil wood on 25 Oct 2009. Line started from an adult isolated on 25 Oct. Same sample as JU2105.,MAF,S70.5.1
JU2105,Caenorhabditis briggsae,wild isolate,Isolated from rotting Dipsacus fullonum stem S70 sampled in Santeuil wood on 25 Oct 2009. Line started from a dauer larva isolated on 25 Oct. Same sample as JU2104.,MAF,S70.1.1
JU2106,Caenorhabditis elegans,wild isolate,"From the compost heap in Fr_chendets (Hautes Pyr_n_es), 10 July 2011.",MAF,13.6.1
JU2107,Caenorhabditis elegans,mfIs55[pRH9; unc-119(+); pmyo-2::DsRED2; pBS]; osm-11(rt142) X,Cross between JU1107 and HA1019.,MB,
JU2108,Caenorhabditis elegans,"mfIs70[lin-31::rde-1, myo-2::GFP] IV; rde-1(ne219); mfIs45[pJM1; unc-119(+); pmyo-2::DsRED2; pBS] ",Cross between JU2039 and JU1024. Presence of unc-119(ed3) and lin-3(e1417)?,MB,
JU2112,Caenorhabditis elegans,"mfIs70[lin-31::rde-1, myo-2::GFP] IV; rde-1(ne219)V; mfIs46[pJM1; unc-119(+); pmyo-2::DsRED2; pBS] ",Cross between JU1060. and JU2039. Presence of unc-119(ed3) and lin-3(e1417)?,MB,
JU2113,Caenorhabditis elegans,"mfIs70[lin-31::rde-1, myo-2::GFP] IV mfSi3[lin-3 genomic fragment, Cbr-unc-119(+)] IV; rde-1(ne219)V",Cross between JU2039 and JU2036.,MB,
JU2131,Caenorhabditis elegans,wild isolate,"Isolated from a rotting Heracleum stem sampled by MAF in Baie des Tr_pass_s (Finistère), France (48.0497, -4.7050) on 9 Aug 2011. Collected at ca. 20 cm from JU2132.",MAF,Trep 1.4
JU2132,Caenorhabditis elegans,wild isolate,"Isolated from a rotting Heracleum stem sampled by MAF in Baie des Tr_pass_s (Finistère), France (48.0497, -4.7050) on 9 Aug 2011. Collected at ca. 20 cm from JU2131.",MAF,Trep 2.1
JU2133,Caenorhabditis elegans,mfIR24(I;LSJ1>N2); let-23(sy1) II,Made from a cross between JU2041 hermaphrodites and JU605 males.,Fabien Duveau,8
JU2134,Caenorhabditis elegans,let-23(sy1) II in N2 background,Made from a cross between JU2041 hermaphrodites and JU605 males. Can be compared with JU2133 as they share the same grand mother but present different nath-10 alleles.,Fabien Duveau,12
JU2135,Caenorhabditis elegans,mfIR27(I;AB1>N2); let-23(sy1) II,Made from a cross between JU2047 hermaphrodites and JU605 males,Fabien Duveau,25
JU2136,Caenorhabditis elegans,let-23(sy1) II,Made from a cross between JU2047 hermaphrodites and JU605 males. Can be compared with JU2135 as they share the same grand mother but present different nath-10 alleles.,Fabien Duveau,36
ED3010,Caenorhabditis elegans,wild isolate,"Isolated by Elie Dolgin and Asher Cutter on 3 Dec 2004 on Midmar Allotment field 1 plot 39, near Edinburgh, Scotland.",Elie Dolgin - from Dolgin box,
ED3048,Caenorhabditis elegans,wild isolate,"Isolated by Elie Dolgin in Ceres, South Africa, 33'22S, 19'19E, 478m, compost from a plant nursery at the Ceres Fruit Farms in the Western Cape province, collected April 2, 2006.",Elie Dolgin - from Dolgin box,CE-CF-3-14
ED3049,Caenorhabditis elegans,wild isolate,"Isolated by Elie Dolgin in Ceres, South Africa, 33'22S, 19'19E, 478m, compost from a plant nursery at the Ceres Fruit Farms in the Western Cape province, collected April 2, 2006.",Elie Dolgin - from Dolgin box,CE-CF-3-15
ED3098,Caenorhabditis briggsae,wild isolate,"Isolated by Elie Dolgin in Nairobi, Kenya, 1'19S, 36'48E, 1708m, leaf litter from the Uhuru Gardens public park in the south part of Nairobi, collected April 14, 2006.",Elie Dolgin - from Dolgin box,NB-UG-3-9
JU2137,Caenorhabditis elegans,unc-(mf110) in PX179 genetic background,"Unc arose during long-term 25¡C culture of PX179, generation 10, 3 Oct 2011.",MAF,
EG7125,Caenorhabditis sp. 5,wild isolate,"Isolated from rotting small fruits with many small seeds collected at the Temple of Literature in Hanoi, Vietnam, August 12, 2011. Coordinates: 21.028611, 105.83555618S rDNA and ITS2 sequences match JU727 C. sp. 5. cross-progeny in matings with JU727",Michael Ailion,
EG7136,Caenorhabditis sp. 5,wild isolate,"Isolated from rotting small purple fruits with seeds collected at the Botanical Garden in Hanoi, Vietnam, August 13, 2011. Coordinates: 21.04145;105.8325cross-progeny in matings with EG7125 C. sp. 5",Michael Ailion,
JU2138,Caenorhabditis briggsae,wild isolate,"Isolated from thistle stem (Asteraceae, Cirsium oleraceum?) in Santeuil (river area) on Oct 10, 2009. Found with C. elegans on the same substrate.",MAF,S51.6
JU2139,Caenorhabditis elegans,wild isolate,"Isolated by MAF from rotting acorns sampled in woods near le Blanc (Indre), France on 23 Oct 2011. Sample plated on 24 Oct and strain started from an adult picked on 25 Oct.",MAF,B11.1.1
JU2140,Caenorhabditis elegans,wild isolate,"Isolated by MAF from slug in rotting acorns sampled in woods near le Blanc (Indre), France on 23 Oct 2011. Sample plated on 24 Oct and strain started from a dauer larva picked on 24Oct.",MAF,B11.1.13
JU2141,Caenorhabditis elegans,wild isolate,"Isolated by MAF from rotting walnuts (outer layer) sampled in woods near le Blanc (Indre), France on 23 Oct 2011. ",MAF,B11.10.1
JU2142,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from rotting stem sampled in woods near le Blanc (Indre), France on 23 Oct 2011. ",MAF,B11.11.2
JU2143,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from rotting walnuts sampled in woods near le Blanc (Indre), at the bottom of drying pond, France on 23 Oct 2011. ",MAF,B11.18.1
JU2144,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from rotting grapes sampled in the garden in le Blanc (Indre), France on 24 Oct 2011. Plated on 24 Oct, and line started  from a dauer juvenile isolated on 24 Oct.",MAF,B11.30.1
JU2145,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from rotting walnut outer envelopes sampled in the garden in le Blanc (Indre), France on 24 Oct 2011. Plated on 24 Oct, and line started  from a post-dauer juvenile isolated on 24 Oct.",MAF,B11.31.1
JU2146,Caenorhabditis virilis,wild isolate,Isolated from rotting apple O841 sampled in Orsay on 11 Nov 2011. Line started from a L4 female larva and a L1 male isolated on 11 Nov. Same sample as JU2147-8.,MAF,O841.4+8
JU2147,Caenorhabditis virilis,wild isolate,Isolated from rotting apple O841 sampled in Orsay on 11 Nov 2011. Line started from a Plugged adult female isolated on 12 Nov. Same sample as JU2146-8.,MAF,O841.16
JU2148,Caenorhabditis virilis,wild isolate,Isolated from rotting apple O841 sampled in Orsay on 11 Nov 2011. Line started from a Plugged adult female isolated on 12 Nov. Same sample as JU2146-7.,MAF,O841.17
JU2149,Rhabditis sp.,wild isolate,Isolated from rotting apple O838 sampled in Orsay on 11 Nov 2011 by MAF. Tube waver (like SB347). Line started from an adult (no further inbreeding).,MAF,O838.1
JU2151,Caenorhabditis elegans,wild isolate,Isolated from rotting Heracleum stem S173 sampled in Santeuil on 31 Oct 2011 by MAF. Line started from an adult isolated on 1 Nov.,MAF,S173.17.1
JU2152,Caenorhabditis elegans,"mfIR10(I,AB1>N2); let-23(+)II",Obtained from a cross between JU1613 hermaphrodites and N2 males.,FD,
JU2156,Caenorhabditis sp. 26,wild isolate,"Isolated from a rotting mandarin sampled on a farm in the Dole district, Zanzibar, Tanzania, on 7 March 2012 by MAF. GPS -6.1074, 39.2515",MAF,Z2.2
JU2157,Caenorhabditis sp. 26,wild isolate,"Isolated from a rotting jackfruit sampled on a farm in the Dole district, Zanzibar, Tanzania, on 7 March 2012 by MAF. GPS -6.1066, 39.2508",MAF,Z5.1
JU2158,Caenorhabditis sp. 26,wild isolate,"Isolated from a rotting jackfruit sampled on a farm in the Dole district, Zanzibar, Tanzania, on 7 March 2012 by MAF. GPS -6.1061, 39.251",MAF,Z6.2
JU2159,Caenorhabditis sp. 26,wild isolate,"Isolated from a rotting fruit of Terminalia catappa (Indian almond) sampled on a farm in the Dole district, Zanzibar, Tanzania, on 7 March 2012 by MAF. GPS -6.1057, 39.2516",MAF,Z9.1
JU2160,Caenorhabditis briggsae,wild isolate,"Isolated from rotting fruits of Calophyllum inophyllum (Óred mahoganyÓ) sampled in the Jozani National forest, Zanzibar, Tanzania, on 9 March 2012 by MAF. GPS -6.2709, 39.417",MAF,Z20.1
JU2161,Caenorhabditis sp. 26,wild isolate,"Isolated from rotting fruits of Calophyllum inophyllum (Óred mahoganyÓ) sampled in the Jozani National forest, Zanzibar, Tanzania, on 9 March 2012 by MAF. GPS -6.2715, 39.416. Same sample as JU2162.",MAF,Z21.1
JU2162,Caenorhabditis briggsae,wild isolate,"Isolated from rotting fruits of Calophyllum inophyllum (Óred mahoganyÓ) sampled in the Jozani National forest, Zanzibar, Tanzania, on 9 March 2012 by MAF. GPS -6.2715, 39.416. Same sample as JU2161.",MAF,Z21.2
JU2163,Caenorhabditis elegans,mfIs70; lin-3(e1417) / kcIs6[ifb-2::cfp] ,Animals positive for GFP and CFP fluorescence are lin-3(e1417) heterozygotes.,MB,
ZF1092,Caenorhabditis sp. 25,wild isolate,"Male-female. Isolated by Takao Inoue from a rotten fruit  sampled on 20 July 2010 in Singapore by Adeline Seah & Takao Inoue (coordinates 1.45, 103.72). Multifemale line.",Adeline Seah & Takao Inoue,
ZF1137,Caenorhabditis brenneri,wild isolate,"Isolated by Takao Inoue from a rotten fruit  sampled ca. November 2010 in Singapore (coordinates 1.31, 103.79). Multifemale line.",Takao Inoue,Caeno A
ZF1217,Caenorhabditis briggsae,wild isolate,"Isolated by Takao Inoue from a rotten fruit  sampled  by Adeline Seah & Takao Inoue on 3 Sep 2011 in Singapore (coordinates 1.32, 103.82). From same sample as ZF1224, although cross-contamination is not completely ruled out.",Adeline Seah & Takao Inoue,A1
ZF1218,Caenorhabditis briggsae,wild isolate,"Isolated by Takao Inoue from a rotten fruit  sampled  by Adeline Seah & Takao Inoue on 3 Sep 2011 in Singapore (coordinates 1.32, 103.82).",Adeline Seah & Takao Inoue,C1
ZF1220,Caenorhabditis nigoni,wild isolate,"Isolated by Takao Inoue from a rotten starfruit  sampled  by Adeline Seah & Takao Inoue on 3 Sep 2011 in Singapore (coordinates 1.32, 103.82). Multifemale line.",Adeline Seah & Takao Inoue,SF0
ZF1222,Caenorhabditis sp. 25,wild isolate,"Male-female. Isolated by Takao Inoue from a rotten fruit  sampled  by Adeline Seah & Takao Inoue on 3 Sep 2011 in Singapore (coordinates 1.32, 103.82). Multifemale line.",Adeline Seah & Takao Inoue,H1B
ZF1224,Caenorhabditis nigoni,wild isolate,"Isolated by Takao Inoue from a rotten fruit  sampled  by Adeline Seah & Takao Inoue on 3 Sep 2011 in Singapore (coordinates 1.32, 103.82). Multifemale line. From same sample as ZF1217, although cross-contamination is not completely ruled out.",Adeline Seah & Takao Inoue,Am
JU2165,Caenorhabditis elegans,"mfIs76[plin-31::lin-12intra; pmyo-2::GFP] II; lin-3(e1417) IV; arIs92[egl-17p::NLS-CFP-lacZ, unc-4(+), ttx-3::GFP]V in N2 background",,MB,
JU2166,Caenorhabditis elegans,"mfIs76[plin-31::lin-12intra; pmyo-2::GFP] II; arIs92[egl-17p::NLS-CFP-lacZ, unc-4(+), ttx-3::GFP] V in N2 background",,MB,
YR106,Caenorhabditis nigoni,wild isolate,"Isolated from a sample collected in Praslin, Seychelles.",,PR3
YR107,Caenorhabditis nigoni,wild isolate,"Isolated from a sample collected in Praslin, Seychelles.",,PR5
YR108,Caenorhabditis nigoni,wild isolate,"Isolated from a sample collected in Praslin, Seychelles.",,PR7
YR88,Caenorhabditis briggsae,wild isolate,"Isolated from a sample collected in San Juan, Puerto Rico (Santurce neighborhood) by A. Barrière. ",A. Barriere,PR1
JU2175,Caenorhabditis remanei,wild isolate,"Isolated by MAF from rotting stems of Arctium lappa sampled in the Natural reserve of the Pointe de la Croix on the Island of Orleans, Quebec, Canada on 18 Jul 2012. Coordinates 47.01906, -70.83997.",MAF,Q5.1
JU2176,Caenorhabditis remanei,wild isolate,"Isolated by MAF from rotting stems of Polygonatum? sampled in the Natural reserve of the Pointe de la Croix on the Island of Orleans, Quebec, Canada on 18 Jul 2012. Coordinates 47.019065, -70.84001. Same sample as JU2181.",MAF,Q7.2
JU2177,Caenorhabditis remanei,wild isolate,"Isolated by MAF from rotting stems of Arctium lappa sampled in the Natural reserve of the Pointe de la Croix on the Island of Orleans, Quebec, Canada on 18 Jul 2012. Coordinates 47.02081 -70.83498.",MAF,Q11.1
JU2178,Caenorhabditis remanei,wild isolate,"Isolated by MAF from rotting stems of Petasites japonicus in Sainte-P_tronille, Island of Orleans, Quebec, Canada on 19 Jul 2012. Coordinates 46.85233, -71.13466.",MAF,Q13.1
JU2179,Caenorhabditis remanei,wild isolate,"Isolated by MAF from rotting fruits of Juglans nigra in the Botanical Garden of Montreal, Quebec, Canada on 21 Jul 2012. Coordinates 45.5617, -73.5613. Same sample as JU2182, same area as JU2180, JU2183.",MAF,Q14.6
JU2180,Caenorhabditis remanei,wild isolate,"Isolated by MAF from rotting stems of Petasites japonicus in the Botanical Garden of Montreal, Quebec, Canada on 21 Jul 2012. Coordinates 45.5617, -73.5613. Same sample as JU2183 same area as JU2179, JU2182.",MAF,Q15.2
JU2181,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from rotting stems of Polygonatum? sampled in the Natural reserve of the Pointe de la Croix on the Island of Orleans, Quebec, Canada on 18 Jul 2012. Coordinates 47.019065, -70.84001. Same sample as JU2176.",MAF,Q7.4
JU2182,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from rotting fruits of Juglans nigra in the Botanical Garden of Montreal, Quebec, Canada on 21 Jul 2012. Coordinates 45.5617, -73.5613. Same sample as JU2179, same area as JU2180, JU2183.",MAF,Q14.2
JU2183,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from rotting stems of Petasites japonicus in the Botanical Garden of Montreal, Quebec, Canada on 21 Jul 2012. Coordinates 45.5617, -73.5613. Same sample as JU2180 same area as JU2179, JU2182.",MAF,Q15.5
JU2184,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from rotting leaves and stems of Caltha palustris in the Botanical Garden of Montreal, Quebec, Canada on 21 Jul 2012. Coordinates 45.5573, -73.5621.",MAF,Q17.1
JU2185,Caenorhabditis briggsae,wild isolate,"Isolated by MAF from rotting stems of coltsfoot Tussilago farfara (or Petasites?), Mont Royal, Montreal, Quebec, Canada on 22 Jul 2012. Coordinates 45.50413, -73.58472.",MAF,Q18.1
JU2186,Rhabditis sp.,wild isolate,"Isolated by MAF from rotting stems of Arctium lappa, Mont Royal, Montreal, Quebec, Canada on 22 Jul 2012. Tube waver (like SB347). Coordinates 45.50239, -73.58676.",MAF,Q18.1
JU2189,Caenorhabditis sp. 26,Inbred derivative of wild isolate,25 rounds of sib mating (L4 female) of JU2161. Embryonic lethality rather high.,MAF,25.25
JU2190,Caenorhabditis sp. 26,Inbred derivative of wild isolate,26 rounds of sib mating (L4 female) of JU2161. Healthy. Use for genome sequencing.,MAF,31.26
JU2191,Caenorhabditis sp. 26,Inbred derivative of wild isolate,25 rounds of sib mating (L4 female) of JU2161.  Healthy.,MAF,39.25
JU2192,Rhabditis sp. (close to SB347),wild isolate,"Isolated by Lise Fr_zal from the apple O911 collected in Orsay (Essonne, France) on 6 Sep 2012. L3 isolated on 7 Sep 2012.",LF,
JU2193,Caenorhabditis elegans,wild isolate,"Isolated by Lise Fr_zal from a snail sampled in Santeuil, France, on 6 July 2012. ",Lise Fr_zal (LF),S213
JU2198,Caenorhabditis sp. 8,wild isolate,"Isolated from rotting crab apples Malus x purpurea sampled on 15 Sep 2012 in the Botanical Garden of the University of Vienna, Austria.  48.18951, 16.38297. Line started from gravid female. Same sample as JU2199-2201.",MAF,V2.1
JU2199,Caenorhabditis sp. 8,wild isolate,"Isolated from rotting crab apples Malus x purpurea sampled on 15 Sep 2012 in the Botanical Garden of the University of Vienna, Austria.  48.18951, 16.38297. Line started from gravid female. Same sample as JU2198, 2200, 2201.",MAF,V2.2
JU2200,Caenorhabditis sp. 8,wild isolate,"Isolated from rotting crab apples Malus x purpurea sampled on 15 Sep 2012 in the Botanical Garden of the University of Vienna, Austria.  48.18951, 16.38297. Line started from gravid female. Same sample as JU2198, 2200, 2201.",MAF,V2.3
JU2201,Caenorhabditis sp. 8,wild isolate,"Isolated from rotting crab apples Malus x purpurea sampled on 15 Sep 2012 in the Botanical Garden of the University of Vienna, Austria.  48.18951, 16.38297. Line started from gravid female. Same sample as JU2198-2200.",MAF,V2.4
JU2202,Caenorhabditis sp. 8,wild isolate,"Isolated from rotting small apples sampled on 16 Sep 2012 along the road Òobere ReisenbergwegÓ, Grinzing, Austria. 48.2628, 16.327. Line started from gravid female on 18 Sep. Same sample as JU2203-5.",MAF,V10.2
JU2203,Caenorhabditis sp. 8,wild isolate,"Isolated from rotting small apples sampled on 16 Sep 2012 along the road Òobere ReisenbergwegÓ, Grinzing, Austria. 48.2628, 16.327. Line started from gravid female on 18 Sep. Same sample as JU2202-5.",MAF,V10.4
JU2204,Caenorhabditis sp. 8,wild isolate,"Isolated from rotting small apples sampled on 16 Sep 2012 along the road Òobere ReisenbergwegÓ, Grinzing, Austria. 48.2628, 16.327. Line started from gravid female. Same sample as JU2202-5.",MAF,V10.5
JU2205,Caenorhabditis sp. 8,wild isolate,"Isolated from rotting small apples sampled on 16 Sep 2012 along the road Òobere ReisenbergwegÓ, Grinzing, Austria. 48.2628, 16.327. Line started from gravid female. Same sample as JU2202-4.",MAF,V10.6
